LocationID,OwnerCSZ,ManagerCSZ,ZIp1,ZIp2,ARPLatitude,ARPLatitudeS,ARPLongitude,ARPLongitudeS
'82NH,"MILFORD, NH 03055","PETERBOROUGH, NH 03458",03055,03458,42-53-46.5600N,154426.5600N,071-54-54.6000W,258894.6000W
'55NH,"PIERMONT, NH 03779","PIERMONT, NH 03779",03779,03779,44-00-28.9000N,158428.9000N,072-05-22.6000W,259522.6000W
'NH19,"PLAINFIELD, NH 03781","PLAINFIELD, NH 03781",03781,03781,43-32-35.2560N,156755.2560N,072-21-08.3280W,260468.3280W
'NH29,"PLAINFIELD, NH 03781","PLAINFIELD, NH 03781",03781,03781,43-34-55.2600N,156895.2600N,072-12-11.3200W,259931.3200W
'93NH,"WEST LEBANON, NH 03784","WEST LEBANON, NH 03784",03784,03784,43-31-30.0000N,156690.0000N,072-21-29.8000W,260489.8000W
'NH87,"PLYMOUTH, NH 03264-0456","PLYMOUTH, NH 03264-0456",03264-0456,03264-0456,43-44-02.1400N,157442.1400N,071-40-44.7400W,258044.7400W
'1P1,"PLYMOUTH, NH 03264","PLYMOUTH, NH 03264",03264,03264,43-46-41.7150N,157601.7150N,071-45-13.8600W,258313.8600W
'2NH4,"PLYMOUTH, NH 03264","PLYMOUTH, NH 03264",03264,03264,43-45-26.2200N,157526.2200N,071-41-44.8000W,258104.8000W
'PSM,"PORTSMOUTH, NH 03801","PORTSMOUTH, NH 03801",03801,03801,43-04-40.6000N,155080.6000N,070-49-23.8000W,254963.8000W
'3NH4,"PORTSMOUTH, NH 03801","PORTSMOUTH, NH 03801",03801,03801,43-03-52.5960N,155032.5960N,070-47-29.4185W,254849.4185W
'45NH,"RAYMOND, NH 03077","RAYMOND, NH 03077",03077,03077,42-59-06.6000N,154746.6000N,071-10-41.8200W,256241.8200W
'DAW,"PORTSMOUTH, NH 03801","PORTSMOUTH, NH 03801",03801,03801,43-17-03.2454N,155823.2454N,070-55-46.3782W,255346.3782W
'NH06,"SALEM, NH 03079","SALEM,, NH 03079",03079,03079,42-48-12.3200N,154092.3200N,071-10-58.2100W,256258.2100W
'12NH,"FRANKLIN, NH 03235","FRANKLIN, NH 03235",03235,03235,43-29-43.0000N,156583.0000N,071-39-16.0000W,257956.0000W
'NH20,"SANBORNTON, NH 03269","SANBORNTON, NH 03269",03269,03269,43-29-32.2730N,156572.2730N,071-38-45.2760W,257925.2760W
'NH09,"SEABROOK, NH 03874","SEABROOK, NH 03874",03874,03874,42-53-45.3240N,154425.3240N,070-51-40.1920W,255100.1920W
